,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,,,,,,,,,,,,G,G,G,G,,,,,,,,
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,,,,,,,,,,S,,G,G,G,G,,,,S,S,,,
G,G,G,G,G,G,T,G,G,T,G,G,G,G,G,G,G,,,,,,,,,,,,G,G,G,G,,,,S,S,,,
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,,,,,,,,,,,,G,G,G,G,,,,,,,,
,,,,,,,G,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,G,G,T,G,,,,,,,,,,G,G,G,G,,,,,,,,,,,,,,,,
,,,,,,,G,G,G,G,,,,,,,,,,G,G,G,G,,,,,,,,,,G,G,G,G,,,
,,,,,,,G,G,G,G,,S,S,,,,,,,G,G,G,G,,,,,,,,,,G,G,G,G,,,
,,,S,S,,,,,,,,S,S,,,,,,,G,G,G,G,,,,,,,,,,G,G,G,G,,,
,,,S,S,,,,,,,,,,,,,,T,,,,,,,,,,,,,G,G,G,G,G,G,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,G,G,G,G,G,G,,,
,,,,G,G,G,S,,,,,,,,,,,,,,,,,,,,,,,,G,G,G,G,G,G,,,
,,,,G,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,G,G,G,G,G,G,G,G,
,,,,G,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,G,G,G,G,G
,,,,G,G,T,G,,,,,,,,,S,,G,G,G,G,G,G,G,G,,,,,,,,G,G,G,G,G,G,G
,,,,,G,G,G,G,,,,,,,,,,G,G,G,S,G,G,G,G,,,,,,,,G,G,G,G,G,G,G
,,,,,G,G,G,G,,,,,,,,,,G,G,G,G,G,G,G,G,G,G,G,G,,,,,,,,,,G
,,,,,G,G,G,G,,,,,,,,,,G,G,G,G,G,G,G,G,G,G,G,G,,,,,,,,,,
,,,,,G,G,G,G,,,,,,,,,,G,G,G,T,G,G,G,G,G,G,G,G,,,,,,,,,,
,,,,,,,G,G,G,G,,,,,,,,G,G,G,G,G,G,G,G,G,G,G,G,,,,,,,,,,
,,,,,,,G,G,G,G,,,,,,,,G,G,G,G,G,G,G,G,,,,,,,,,,,,,,
,,,,,,,G,G,G,G,,,,,,,,G,G,G,G,G,G,G,G,G,G,G,G,,,,,,,,,,
,,,G,G,G,G,G,G,G,G,,,,T,,,,,,,G,G,G,G,,G,G,G,G,,,T,,,,,,,
,,,G,G,G,G,,,,,,,,,,,,,,,G,G,G,G,,G,G,G,G,,,,,,,,,,
,,,G,G,G,G,,,,,,,,,,,,,,,G,G,G,G,,G,G,G,G,,,,,,,,,,
,,,G,G,G,G,,,,,,,,,,,,,,,G,G,G,G,,,,,,,,,,,,,,,
,,,G,G,,,,,T,,,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,
,,,G,G,,,,,,,,G,G,G,S,S,,,,,,,,,,,,,,T,,,,S,S,,,,
,,,G,G,,,,G,G,G,G,G,G,S,G,G,G,G,G,,,,S,S,,,,,,,,,,S,S,,,,
,,,G,G,,,,G,G,G,G,G,G,G,G,G,G,G,G,,,,S,S,,G,G,G,G,,,,,,,,,,
,,,G,G,,,,G,G,G,G,G,G,G,G,G,G,G,G,,,,,,,G,G,G,G,,,,,,,,,,
,,,G,G,,,,G,G,G,G,,,G,G,G,G,G,G,,,,,,,G,G,G,G,,,,,,,,,,
,,,G,G,,,,,,,,,,G,G,G,G,,,,,,,G,G,G,G,G,G,,,,,,,,T,,
,,,G,G,,,,,,,G,G,G,G,G,,,,,,,,G,G,G,G,,,,,,,,,,,,,
,,,G,G,,,,,,,G,G,G,G,G,,,,,,G,G,G,G,G,G,G,G,,,,,,,,,,,
,,,G,G,,,,,,,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,G,,,,,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
